MES_ABERTURA;QTDE
198204;778
197009;91
201509;5514
198901;1147
196602;21
199305;1232
197502;155
197106;105
197507;209
199312;1196
198209;789
201311;4271
201407;4933
202005;8330
200305;640
201909;8628
199912;658
198005;739
197101;81
200702;849
201806;5806
197602;259
196707;73
200909;1917
198406;787
197011;60
196403;1
196008;1
198611;1462
197712;498
197901;562
199407;752
201205;4182
199301;1150
199106;1637
197203;131
200711;1101
202401;5869
200108;1063
198401;925
196701;50
197209;129
200806;1106
200511;876
199101;1501
200203;660
196907;71
199708;926
199112;1274
198803;1433
197701;552
196806;52
196608;1153
199704;897
197907;658
197107;97
200606;837
199202;1221
199609;1128
199703;972
201709;5800
198702;1252
199903;1180
199911;744
200211;668
200601;854
198102;642
196903;68
202105;10407
198908;1667
198302;785
197103;88
201612;3758
197311;160
197705;644
196910;70
201910;9618
202306;5451
200707;1041
201605;5575
201703;6294
201710;5799
201902;7580
198812;1306
197403;151
202103;11912
198912;1052
197609;297
200504;853
197012;84
200006;669
197912;564
197911;640
199201;1310
200512;877
201906;7224
198703;1031
197410;149
199402;937
196604;12
199610;1131
198904;1438
199802;745
199404;887
199601;1076
202206;5717
198311;982
197806;456
201101;3008
201405;5004
199007;1538
197302;164
200905;1356
198507;1088
199008;1836
201506;5108
201708;6672
201802;5752
198211;892
196803;48
201410;4891
198610;1615
198001;743
200012;633
197904;545
197707;628
197710;553
199307;1283
200010;642
197903;677
197402;172
200705;1064
200510;935
201107;4311
200007;662
200301;424
198410;958
199409;1223
197411;135
202009;10656
202112;6703
197406;136
201308;4970
202312;3468
200106;919
197812;495
197606;263
199012;1293
202201;8857
198205;901
200509;960
197010;83
200603;960
201905;7818
198004;634
199706;896
199110;1637
198111;824
196705;57
201503;5573
199006;1708
202307;5733
198407;972
197604;240
200912;1491
201209;3476
199605;1188
200310;757
198508;1341
200810;1154
201202;3449
201712;3853
202102;10691
202402;5570
200112;758
198002;575
196611;38
201911;8123
202302;4860
197305;180
197803;642
196606;24
201207;4164
199507;884
197004;66
202208;6101
196502;1
201903;7219
199304;1086
197908;639
200303;625
202004;7440
199211;1344
197510;218
200204;711
198310;918
199606;1093
196807;61
199812;935
199904;956
197508;211
198208;805
198409;865
198909;1297
198212;776
196609;1080
197412;106
198806;1484
196505;2
197307;155
197204;104
200712;928
201608;5727
202202;7403
198502;636
201011;4160
201105;3708
201111;3779
201401;4708
196702;46
200205;690
194911;1
201508;5642
198201;942
199104;1823
198807;1218
196810;56
201203;4242
202010;10652
199508;1028
197208;156
202212;3326
199010;1666
200311;863
197607;283
197001;67
196512;56
198705;1072
201805;6846
200403;955
197207;123
199702;701
198403;811
201907;8785
202304;4875
197708;676
200404;923
201801;6316
202403;5815
199701;907
198608;1525
200408;922
200801;1018
197102;99
200611;1018
200109;859
200802;1053
201210;3979
201704;4923
200506;1071
196610;175
202310;5726
197802;524
200501;702
196607;309
196601;11
197312;111
197505;204
196407;1
200609;906
202309;5086
198609;1686
198304;949
201510;5439
199709;1021
197702;497
199806;861
198110;694
198305;1156
196612;52
197407;157
201110;3713
201305;4686
198906;1746
197603;255
197002;63
201208;4182
202106;10291
198402;790
200410;777
199206;1341
198903;1570
200104;906
201009;3318
201912;5418
200001;553
199309;1350
198312;926
200002;719
198910;1451
199902;816
199607;1210
199907;999
199406;760
197807;541
201206;3600
201804;6627
199906;1115
199004;1910
197211;111
195807;1
200710;1331
201603;5872
198709;1315
200103;960
200607;909
195810;1
199005;1939
199401;1107
198307;952
196406;1
198708;1258
198811;1273
198911;1211
200704;977
201102;3202
196711;32
201610;5116
198505;956
199509;955
197811;572
196912;234
201812;4677
199102;1213
199512;987
197111;103
196508;2
198905;1579
199212;1115
200003;711
199801;775
197003;83
197401;185
199504;921
199901;849
201005;3381
199109;1578
199408;1082
196802;66
198604;1532
200503;1031
198112;753
200209;683
197304;114
201302;3973
199105;1556
197310;172
202404;6225
197205;114
199810;1003
200407;874
198510;1241
200207;746
200508;1103
199603;1218
196908;65
201511;5178
202008;10660
202108;10982
200604;749
198605;1438
198802;1167
197405;156
195105;1
199306;1217
200101;613
196708;74
200708;1245
199107;1843
197404;152
201312;2993
199905;1083
196704;43
199207;1340
196411;2
198805;1428
200405;932
198412;777
198511;1026
196911;81
200805;1058
198105;709
197006;77
196906;63
200610;971
200907;1554
201204;3384
202104;10606
197309;112
199510;958
198711;1332
202011;9554
199103;1554
199711;838
195203;1
201601;5217
201904;8024
198003;726
200812;1005
200901;991
198801;1206
199501;852
198007;695
200306;671
201211;3332
201406;4594
201807;6589
197409;164
201012;2678
201502;4275
198206;809
199411;1125
197909;632
196710;66
196709;57
197601;331
196902;56
198607;1540
199502;784
199811;1050
200505;923
198104;522
200709;1062
201411;4663
202305;5953
197709;585
199505;876
198106;806
201701;5778
199908;873
196905;50
196812;47
201803;6790
197704;489
198405;896
198509;1442
199804;729
200803;1106
199909;790
199001;1116
197801;704
197212;94
201306;4189
199805;768
197808;634
198306;1027
197504;179
200804;1183
202203;6231
199210;1175
199705;881
196805;58
195610;1
200808;1199
200107;969
198006;706
198109;768
201908;9234
202303;6199
201505;5373
197805;265
202110;9419
198210;757
198603;1139
201008;3598
201108;4266
200208;738
201001;1614
200201;771
197509;209
202405;2012
200009;623
201002;2511
198202;737
197306;169
200210;744
201501;4691
199303;1524
201106;3870
201403;4432
198512;983
199710;933
200206;681
199602;1068
198207;852
197906;636
200110;1095
202006;9712
200212;585
200302;591
196603;16
200307;741
196712;42
202308;6062
198408;1000
196706;59
199203;1250
200402;665
198809;1332
199209;1219
199009;1459
200406;952
200903;1442
201003;3500
201705;6442
202311;5095
199503;1051
197706;600
199807;930
197112;81
197201;110
201004;2850
201112;2769
199808;978
197007;90
201507;5656
199108;1756
196801;64
195812;1
201606;5330
200005;768
196808;60
199712;757
197206;129
202109;9655
200605;1022
197910;690
197905;626
197511;164
196409;1
196909;90
196605;5
194007;1
202007;11300
202301;5637
199403;1212
199204;1181
200401;535
201402;4809
201409;5176
198808;1401
198504;712
201811;6384
200602;871
198612;1289
197506;210
196109;1
200908;1897
202003;9738
199208;1379
197008;82
201010;4515
201412;3212
199611;1162
201212;2503
197501;190
197108;122
198203;865
199412;1023
197308;168
196703;42
200304;683
196904;63
197109;134
198301;1028
201104;2877
199612;1141
196809;36
202111;9353
202211;4663
199506;771
198011;698
197503;166
200811;1129
197711;542
198706;1062
202012;7296
202207;5787
200102;633
197611;243
198606;1446
199310;1141
197105;123
201103;3043
201607;5478
200309;749
197005;56
201408;4991
198103;661
200308;670
201006;2860
200412;825
201707;5895
202204;5558
199002;1085
201611;5134
200706;965
201304;4720
201512;3665
201702;5382
196811;48
200608;1041
201604;5261
201901;7735
198804;1190
197608;281
200105;988
197408;145
200011;706
200701;830
202205;6261
202210;4708
198008;755
198012;647
198404;836
197104;93
200906;1368
198009;799
201309;4797
198108;800
197809;539
200910;1731
200312;626
198602;854
200809;1174
199910;827
200612;739
201007;3293
199111;1505
199608;1152
199405;950
201706;5650
198707;1305
200008;726
197210;134
197301;121
201201;3759
199302;1093
197902;454
198506;680
201303;4332
196901;60
198303;948
196503;1
198501;851
199809;1001
200507;1009
196510;1
198710;1376
198601;1102
197110;104
197703;568
199803;904
198101;609
200409;831
201504;5025
201808;7474
197810;646
198701;1272
197610;276
198411;984
199308;1214
201109;3981
201310;4900
201809;6471
198907;1608
199707;958
199311;1242
196804;50
198107;764
198503;697
201810;7029
200411;833
197202;106
199511;952
198704;920
199410;1048
197303;103
200807;1206
201609;5123
198010;720
197612;240
197804;635
197605;267
200502;776
199604;1091
199003;1488
202001;9421
202101;11659
200111;881
201602;5110
200004;612
202002;8014
198810;1131
200703;1173
200902;1061
198712;1261
202209;5500
196105;1
199011;1544
198308;1199
201404;4809
199205;1172
200202;718
201307;5024
198309;1066
200904;1283
202107;10619
198902;1168
197512;159
196506;1
200911;1885
201301;4097
201711;5544